MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
666	0.125009	99800544	0.505086	887334111
667	0.112245	100248766	0.545693	891335445
668	0.115173	100698328	0.559746	895348790
669	0.125481	101149232	0.544437	899374164
670	0.120025	101601480	0.547077	903411585
671	0.111864	102055074	0.531853	907461071
672	0.11434	102510016	0.539603	911522640
673	0.115997	102966308	0.548118	915596310
674	0.12462	103423952	0.625163	919682099
675	0.118915	103882950	0.552406	923780025
676	0.12663	104343304	0.533686	927890106
677	0.114358	104805016	0.558688	932012360
678	0.12808	105268088	0.556372	936146805
679	0.118601	105732522	0.56117	940293459
680	0.123838	106198320	0.545461	944452340
681	0.133403	106665484	0.58442	948623466
682	0.117696	107134016	0.548192	952806855
683	0.123332	107603918	0.565789	957002525
684	0.124961	108075192	0.559879	961210494
685	0.122688	108547840	0.584109	965430780
686	0.121326	109021864	0.58049	969663401
687	0.12368	109497266	0.601513	973908375
688	0.140091	109974048	0.581066	978165720
689	0.135811	110452212	0.578448	982435454
690	0.129425	110931760	0.618895	986717595
691	0.137466	111412694	0.596701	991012161
692	0.138014	111895016	0.597969	995319170
693	0.11928	112378728	0.614851	999638640
694	0.128194	112863832	0.630289	1003970589
695	0.132054	113350330	0.643481	1008315035
696	0.12634	113838224	0.600369	1012671996
697	0.14225	114327516	0.623163	1017041490
698	0.131819	114818208	0.622994	1021423535
699	0.139868	115310302	0.62085	1025818149
700	0.129557	115803800	0.63699	1030225350
701	0.132995	116298704	0.647191	1034645156
702	0.137957	116795016	0.616284	1039077585
703	0.142431	117292738	0.629798	1043522655
704	0.139759	117791872	0.629262	1047980384
705	0.131607	118292420	0.650797	1052450790
706	0.132974	118794384	0.623259	1056933891
707	0.143311	119297766	0.641605	1061429705
708	0.13585	119802568	0.650851	1065938250
709	0.133507	120308792	0.635323	1070459544
710	0.151936	120816440	0.655066	1074993605
711	0.137392	121325514	0.640517	1079540451
712	0.142331	121836016	0.663655	1084100100
713	0.141709	122347948	0.663854	1088672570
714	0.141759	122861312	0.689123	1093257879
715	0.145399	123376110	0.663798	1097856045
716	0.158155	123892344	0.680042	1102467086
717	0.154718	124410016	0.660172	1107091020
718	0.154191	124929128	0.648636	1111727865
719	0.14568	125449682	0.661773	1116377639
720	0.135633	125971680	0.683389	1121040360
721	0.157878	126495124	0.705408	1125716046
