MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
461	0.037564	33295264	0.149989	196475895
462	0.037159	33511016	0.157555	197756097
463	0.03539	33727698	0.155276	199041848
464	0.043475	33945312	0.171428	200333160
465	0.032513	34163860	0.154101	201630045
466	0.044896	34383344	0.159331	202932515
467	0.037159	34603766	0.150105	204240582
468	0.034561	34825128	0.166827	205554258
469	0.035443	35047432	0.162428	206873555
470	0.033315	35270680	0.165231	208198485
471	0.037161	35494874	0.159717	209529060
472	0.037159	35720016	0.160857	210865292
473	0.042961	35946108	0.172659	212207193
474	0.0427	36173152	0.153677	213554775
475	0.036193	36401150	0.15752	214908050
476	0.03859	36630104	0.1612	216267030
477	0.034766	36860016	0.170464	217631727
478	0.035233	37090888	0.165634	219002153
479	0.046287	37322722	0.169978	220378320
480	0.036783	37555520	0.176636	221760240
481	0.045173	37789284	0.177518	223147925
482	0.038171	38024016	0.173786	224541387
483	0.040911	38259718	0.177102	225940638
484	0.037489	38496392	0.171814	227345690
485	0.042379	38734040	0.160196	228756555
486	0.043919	38972664	0.17586	230173245
487	0.044146	39212266	0.171204	231595772
488	0.03806	39452848	0.174854	233024148
489	0.038286	39694412	0.177538	234458385
490	0.043238	39936960	0.187987	235898495
491	0.041623	40180494	0.17382	237344490
492	0.041016	40425016	0.190585	238796382
493	0.038766	40670528	0.176399	240254183
494	0.044526	40917032	0.195589	241717905
495	0.042326	41164530	0.18629	243187560
496	0.043141	41413024	0.197486	244663160
497	0.044948	41662516	0.179768	246144717
498	0.044252	41913008	0.187521	247632243
499	0.046679	42164502	0.192577	249125750
500	0.041788	42417000	0.18048	250625250
501	0.043128	42670504	0.19345	252130755
502	0.045208	42925016	0.194136	253642277
503	0.047508	43180538	0.197742	255159828
504	0.049537	43437072	0.195625	256683420
505	0.05225	43694620	0.19824	258213065
506	0.042589	43953184	0.212756	259748775
507	0.044712	44212766	0.206055	261290562
508	0.049874	44473368	0.202136	262838438
509	0.043657	44734992	0.193204	264392415
510	0.051978	44997640	0.214126	265952505
511	0.053367	45261314	0.209908	267518720
512	0.058725	45526016	0.201312	269091072
513	0.050327	45791748	0.215194	270669573
514	0.047259	46058512	0.208576	272254235
515	0.047197	46326310	0.21223	273845070
516	0.052074	46595144	0.205848	275442090
517	0.059042	46865016	0.207831	277045307
518	0.052296	47135928	0.204006	278654733
519	0.05663	47407882	0.221165	280270380
520	0.049005	47680880	0.217372	281892260
521	0.056077	47954924	0.231923	283520385
522	0.050945	48230016	0.216911	285154767
523	0.058069	48506158	0.207215	286795418
524	0.04835	48783352	0.21696	288442350
525	0.052318	49061600	0.226463	290095575
526	0.058663	49340904	0.2088	291755105
527	0.056223	49621266	0.224266	293420952
528	0.061653	49902688	0.226962	295093128
529	0.06564	50185172	0.220342	296771645
530	0.056167	50468720	0.248427	298456515
531	0.052889	50753334	0.23443	300147750
532	0.057935	51039016	0.221364	301845362
533	0.05883	51325768	0.246026	303549363
534	0.061323	51613592	0.234804	305259765
535	0.066552	51902490	0.253363	306976580
536	0.057191	52192464	0.251759	308699820
537	0.051497	52483516	0.242083	310429497
538	0.063419	52775648	0.23947	312165623
539	0.059023	53068862	0.236518	313908210
540	0.064425	53363160	0.226762	315657270
541	0.064046	53658544	0.222914	317412815
542	0.06716	53955016	0.237987	319174857
543	0.057367	54252578	0.230725	320943408
544	0.062838	54551232	0.223577	322718480
545	0.063172	54850980	0.248326	324500085
546	0.07315	55151824	0.236287	326288235
547	0.067188	55453766	0.249069	328082942
548	0.058301	55756808	0.256356	329884218
549	0.069177	56060952	0.264995	331692075
550	0.06239	56366200	0.261169	333506525
551	0.070123	56672554	0.261219	335327580
552	0.070568	56980016	0.258071	337155252
553	0.067369	57288588	0.254183	338989553
554	0.072874	57598272	0.25444	340830495
555	0.068988	57909070	0.268502	342678090
556	0.063518	58220984	0.265425	344532350
557	0.068485	58534016	0.250939	346393287
558	0.075285	58848168	0.274573	348260913
559	0.066085	59163442	0.260234	350135240
560	0.068371	59479840	0.250823	352016280
561	0.074976	59797364	0.270469	353904045
562	0.07695	60116016	0.262868	355798547
563	0.073217	60435798	0.265301	357699798
564	0.066458	60756712	0.300275	359607810
565	0.06278	61078760	0.284943	361522595
566	0.061852	61401944	0.27652	363444165
567	0.078217	61726266	0.284604	365372532
568	0.067903	62051728	0.280705	367307708
569	0.070864	62378332	0.295914	369249705
570	0.069452	62706080	0.271504	371198535
571	0.06453	63034974	0.275165	373154210
572	0.069972	63365016	0.268387	375116742
573	0.076335	63696208	0.274187	377086143
574	0.065091	64028552	0.286234	379062425
575	0.071133	64362050	0.288792	381045600
576	0.072204	64696704	0.282569	383035680
577	0.071442	65032516	0.281676	385032677
578	0.071799	65369488	0.276491	387036603
579	0.070929	65707622	0.306099	389047470
580	0.070386	66046920	0.302205	391065290
581	0.078728	66387384	0.291729	393090075
582	0.069628	66729016	0.281671	395121837
583	0.077245	67071818	0.31304	397160588
584	0.084024	67415792	0.305274	399206340
585	0.07981	67760940	0.303366	401259105
586	0.068936	68107264	0.326858	403318895
587	0.072823	68454766	0.309774	405385722
588	0.073135	68803448	0.300441	407459598
589	0.077841	69153312	0.352688	409540535
590	0.077469	69504360	0.337186	411628545
591	0.0804	69856594	0.327448	413723640
592	0.091023	70210016	0.325944	415825832
593	0.082137	70564628	0.30911	417935133
594	0.079546	70920432	0.323462	420051555
595	0.08489	71277430	0.322957	422175110
596	0.081047	71635624	0.335515	424305810
597	0.077706	71995016	0.332671	426443667
598	0.083661	72355608	0.319785	428588693
599	0.081428	72717402	0.33578	430740900
600	0.078184	73080400	0.31517	432900300
601	0.08469	73444604	0.333609	435066905
602	0.078913	73810016	0.322967	437240727
603	0.090282	74176638	0.345465	439421778
604	0.077362	74544472	0.353021	441610070
605	0.086961	74913520	0.325439	443805615
606	0.077751	75283784	0.33269	446008425
607	0.095735	75655266	0.326323	448218512
608	0.076021	76027968	0.323971	450435888
609	0.083974	76401892	0.353599	452660565
610	0.080622	76777040	0.356945	454892555
611	0.087109	77153414	0.341551	457131870
612	0.094847	77531016	0.370107	459378522
613	0.095473	77909848	0.344368	461632523
614	0.089488	78289912	0.371732	463893885
615	0.092705	78671210	0.395391	466162620
616	0.092494	79053744	0.366718	468438740
617	0.088569	79437516	0.381152	470722257
618	0.093654	79822528	0.367411	473013183
619	0.089656	80208782	0.365171	475311530
620	0.088203	80596280	0.361538	477617310
621	0.083258	80985024	0.369906	479930535
622	0.083455	81375016	0.371123	482251217
623	0.082551	81766258	0.389317	484579368
624	0.085639	82158752	0.390182	486915000
625	0.102799	82552500	0.433335	489258125
626	0.134458	82947504	0.405113	491608755
627	0.091747	83343766	0.409062	493966902
628	0.106425	83741288	0.391714	496332578
629	0.098782	84140072	0.394182	498705795
630	0.092146	84540120	0.405065	501086565
631	0.097516	84941434	0.422	503474900
632	0.091584	85344016	0.399431	505870812
633	0.101306	85747868	0.517986	508274313
634	0.132707	86152992	0.5468	510685415
635	0.140859	86559390	0.522315	513104130
636	0.125925	86967064	0.545681	515530470
637	0.13111	87376016	0.559175	517964447
638	0.146701	87786248	0.572132	520406073
639	0.138535	88197762	0.488832	522855360
640	0.121073	88610560	0.521396	525312320
641	0.123116	89024644	0.533883	527776965
642	0.1164	89440016	0.488537	530249307
643	0.151748	89856678	0.548855	532729358
644	0.119121	90274632	0.479053	535217130
645	0.129223	90693880	0.455025	537712635
646	0.10317	91114424	0.447623	540215885
647	0.097072	91536266	0.456768	542726892
648	0.100263	91959408	0.422422	545245668
649	0.107011	92383852	0.423751	547772225
650	0.103251	92809600	0.4451	550306575
651	0.112673	93236654	0.42582	552848730
652	0.10666	93665016	0.470825	555398702
653	0.110426	94094688	0.490257	557956503
654	0.11106	94525672	0.444241	560522145
655	0.109744	94957970	0.460954	563095640
656	0.11147	95391584	0.453821	565677000
657	0.117908	95826516	0.469043	568266237
658	0.120257	96262768	0.557978	570863363
659	0.153433	96700342	0.535827	573468390
660	0.128634	97139240	0.503163	576081330
661	0.129888	97579464	0.544633	578702195
662	0.120071	98021016	0.540513	581330997
663	0.183048	98463898	0.574345	583967748
664	0.161017	98908112	0.571037	586612460
665	0.13433	99353660	0.513504	589265145
666	0.12791	99800544	0.528177	591925815
667	0.133046	100248766	0.524654	594594482
668	0.136423	100698328	0.58945	597271158
669	0.139917	101149232	0.537329	599955855
670	0.132478	101601480	0.53074	602648585
671	0.143353	102055074	0.554974	605349360
672	0.126155	102510016	0.494125	608058192
673	0.122426	102966308	0.533866	610775093
674	0.127071	103423952	0.521409	613500075
675	0.121454	103882950	0.497628	616233150
676	0.123751	104343304	0.492557	618974330
